+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-----------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score         | top 3 | top 5 |
|        |                |                                                                                                                                                                                                                           | (27, 0.513) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.513) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.513) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (11, 0.45) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (12, 0.45) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (13, 0.45) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (14, 0.45) |                       |       |       |
|   20   |    fraggle     |                                                                                                       [3, 22, 6, 9]                                                                                                       | (24, 0.484) |  0.14593636278809358  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (25, 0.484) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.484) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.484) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.484) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.484) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.439) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.439) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.439) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.439) |                       |       |       |
|   22   |    fraggle     |                                                                                                            [3]                                                                                                            | (24, 0.459) |   0.0388085766954497  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (25, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.434) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (10, 0.434) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.427) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.425) |                       |       |       |
|   24   |    fraggle     |                                                                                                            [33]                                                                                                           | (24, 0.471) |  0.002083925357582646 |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (25, 0.471) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.471) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.471) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.471) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.471) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.446) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.446) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.446) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.446) |                       |       |       |
|   27   |    fraggle     |                                                                                                            [34]                                                                                                           | (24, 0.463) |  0.002044790652385589 |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (25, 0.463) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.463) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.463) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.463) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.463) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.443) |                       |       |       |
|   28   |    fraggle     |                                                                                                [14, 15, 16, 25, 27, 29, 9]                                                                                                |  (24, 0.46) |   0.3028203376598029  |   1   |   2   |
|        |                |                                                                                                                                                                                                                           |  (25, 0.46) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (26, 0.46) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (27, 0.46) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (28, 0.46) |                       |       |       |
|        |                |                                                                                                                                                                                                                           |  (29, 0.46) |                       |       |       |
