                    user      modified                                              added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
64     christianbender89            []                                              [109]             0.000000       10.576923            0.000000      30.000000               0.000000          7.523810
65     christianbender89          [69]                                                 []             0.019048       10.485714            0.000000      29.491525               0.000000          6.194940
66     christianbender89            []                                              [110]             0.000000       10.485714            0.000000      29.491525               0.000000          6.441667
67     christianbender89           [5]                                                 []             0.009434       10.396226            0.000000      29.491525               0.015152          5.409596
68     christianbender89            []                                              [111]             0.000000       10.405660            0.000000      29.491525               0.000000          5.819384
69     christianbender89         [101]                                                 []             0.289720       10.317757            0.983051      29.491525               0.083333          4.907786
70     christianbender89            []                                              [112]             0.000000       10.317757            0.000000      30.935484               0.000000          5.342346
71     christianbender89            []                                              [114]             0.000000       10.231481            0.000000      29.466667               0.000000          4.501129
72     christianbender89            []                                              [115]             0.000000       10.146789            0.000000      29.466667               0.000000          5.067480
73     christianbender89            []                                    [116, 117, 118]             0.000000       10.063636            0.000000      29.466667               0.000000          5.264520
74     christianbender89            []                                              [119]             0.000000        9.876106            0.000000      30.706250               0.000000          5.361644
75     christianbender89            []                                              [120]             0.000000        9.798246            0.000000      31.866667               0.000000          7.417160
76     christianbender89            []                                    [121, 122, 123]             0.000000        9.721739            0.000000      31.866667               0.000000          6.451767
77     christianbender89            []                                              [124]             0.000000        9.550847            0.000000      32.420536               0.000000          6.141385
78     christianbender89          [72]                                                 []             0.016807        9.478992            0.000000      34.266667               0.012987          7.990743
79     christianbender89            []                                              [125]             0.000000        9.487395            0.000000      34.933333               0.000000          6.889658
80     christianbender89         [123]                                                 []             0.025000        9.416667            0.800000      34.600000               0.333333          5.498827
81     christianbender89         [123]                                                 []             0.025000        9.416667            0.500000      34.700000               0.000000          5.541943
82     christianbender89         [105]                                                 []             0.008333        9.416667            0.000000      33.202433               0.041667          4.629146
83     christianbender89         [105]                                                 []             0.008333        9.416667            0.000000      32.702433               0.000000          4.116871
84     christianbender89         [105]                                                 []             0.008333        9.416667            0.000000      32.202433               0.000000          3.794068
85     christianbender89         [105]                                                 []             0.008333        9.416667            0.000000      31.170536               0.000000          3.547512
86     christianbender89         [109]                                                 []             0.008333        9.416667            0.000000      30.310482               0.047619          3.348153
87     christianbender89          [95]                                                 []             0.258333        9.416667            0.934426      30.310482               0.033333          3.135647
88     christianbender89         [111]                                                 []             0.008333        9.416667            0.000000      31.908950               0.052632          2.961889
89     christianbender89          [94]                                                 []             0.258333        9.416667            0.965517      32.151149               0.031250          2.789221
