                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
59                  mu                                                [5]                                               []             0.666667       12.888889            0.714286      20.604936               0.000000          0.067241
60                  mu                                     [5, 6, 10, 15]                                               []             2.666667       12.888889            3.183333      21.592702               0.016949          0.064568
61                  mu                                [5, 23, 22, 24, 15]                                               []             3.185185       12.925926            4.271105      20.341085               0.000000          0.045455
62                  mu                                                [5]                                               []             0.703704       13.000000            0.720000      20.068799               0.000000          0.043478
63                  mu                                         [5, 9, 10]                                               []             2.111111       13.000000            2.470588      20.481339               0.000000          0.041667
64                  mu                                               [11]                                               []             0.740741       13.000000            0.956522      19.652833               0.000000          0.040000
65                  mu                                [5, 11, 13, 33, 23]                                               []             2.851852       13.000000            3.667659      20.138265               0.038462          0.038462
66                  mu                                        [9, 10, 13]                                               []             2.038462       12.653846            2.837148      18.315641               0.000000          0.000000
67                  mu                                                [5]                                               []             0.730769       12.653846            0.590909      18.473141               0.000000          0.000000
68                  mu                                     [5, 9, 10, 15]                                               []             2.923077       12.653846            3.266667      18.685824               0.000000          0.000000
69                  mu                                                 []                                             [35]             0.000000       12.653846            0.000000      18.687523               0.000000          0.000000
70                  mu                                                [5]                                               []             0.703704       12.222222            0.333333      17.962162               0.000000          0.000000
71                  mu                                           [11, 15]                                             [62]             1.518519       12.222222            1.950000      18.807658               0.000000          1.000000
72                  mu                                               [24]                                               []             0.464286       11.964286            0.900000      18.461612               0.000000          0.500000
73                  mu                                                [5]                                               []             0.678571       11.964286            0.250000      19.256886               0.000000          1.333333
74                  mu                                               [15]                                               []             0.785714       11.964286            1.000000      19.233083               0.000000          0.750000
75                  mu                                               [28]                                               []             0.642857       11.964286            1.000000      19.563059               0.000000          0.533333
76                  mu                                            [9, 26]                                               []             0.678571       11.964286            1.000000      19.625694               0.000000          0.416667
77                  mu                                               [15]                                               []             0.785714       12.035714            0.916667      18.542769               0.000000          0.342857
78                  mu                                                [5]                                               []             0.678571       12.035714            0.250000      21.449510               0.000000          0.291667
79                  mu                                               [18]                                               []             0.535714       12.035714            0.941176      20.493557               0.000000          0.253968
