+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
| commit |        user       | changed_objects | top 10 pred  |         score         | top 3 | top 5 |
|        |                   |                 | (93, 0.306)  |                       |       |       |
|        |                   |                 | (94, 0.306)  |                       |       |       |
|        |                   |                 | (95, 0.306)  |                       |       |       |
|        |                   |                 | (96, 0.306)  |                       |       |       |
|        |                   |                 |  (88, 0.22)  |                       |       |       |
|        |                   |                 |  (89, 0.22)  |                       |       |       |
|  108   | christianbender89 |     [47, 44]    | (91, 0.228)  |  0.005818524925302721 |   0   |   0   |
|        |                   |                 | (92, 0.228)  |                       |       |       |
|        |                   |                 | (94, 0.228)  |                       |       |       |
|        |                   |                 | (95, 0.228)  |                       |       |       |
|        |                   |                 | (96, 0.228)  |                       |       |       |
|        |                   |                 | (102, 0.206) |                       |       |       |
|        |                   |                 | (60, 0.199)  |                       |       |       |
|        |                   |                 | (61, 0.199)  |                       |       |       |
|        |                   |                 | (62, 0.199)  |                       |       |       |
|        |                   |                 | (63, 0.199)  |                       |       |       |
|  109   | christianbender89 |     [67, 21]    | (105, 0.352) |  0.02254235027344271  |   0   |   0   |
|        |                   |                 | (106, 0.352) |                       |       |       |
|        |                   |                 | (107, 0.352) |                       |       |       |
|        |                   |                 | (91, 0.235)  |                       |       |       |
|        |                   |                 | (92, 0.235)  |                       |       |       |
|        |                   |                 | (94, 0.235)  |                       |       |       |
|        |                   |                 | (95, 0.235)  |                       |       |       |
|        |                   |                 | (96, 0.235)  |                       |       |       |
|        |                   |                 | (60, 0.212)  |                       |       |       |
|        |                   |                 | (61, 0.212)  |                       |       |       |
|  112   | christianbender89 |      [108]      | (105, 0.245) | 0.0007742934572202864 |   0   |   0   |
|        |                   |                 | (106, 0.245) |                       |       |       |
|        |                   |                 | (107, 0.245) |                       |       |       |
|        |                   |                 | (91, 0.243)  |                       |       |       |
|        |                   |                 | (92, 0.243)  |                       |       |       |
|        |                   |                 | (94, 0.243)  |                       |       |       |
|        |                   |                 | (95, 0.243)  |                       |       |       |
|        |                   |                 | (96, 0.243)  |                       |       |       |
|        |                   |                 | (60, 0.226)  |                       |       |       |
|        |                   |                 | (61, 0.226)  |                       |       |       |
|  113   | christianbender89 |      [108]      | (91, 0.223)  | 0.0008853474988933155 |   0   |   0   |
|        |                   |                 | (92, 0.223)  |                       |       |       |
|        |                   |                 | (94, 0.223)  |                       |       |       |
|        |                   |                 | (95, 0.223)  |                       |       |       |
|        |                   |                 | (96, 0.223)  |                       |       |       |
|        |                   |                 | (60, 0.211)  |                       |       |       |
|        |                   |                 | (61, 0.211)  |                       |       |       |
|        |                   |                 | (62, 0.211)  |                       |       |       |
|        |                   |                 | (63, 0.211)  |                       |       |       |
|        |                   |                 | (64, 0.211)  |                       |       |       |
|  114   | christianbender89 |       [84]      | (91, 0.208)  |  0.003114754098360655 |   0   |   0   |
|        |                   |                 | (92, 0.208)  |                       |       |       |
|        |                   |                 | (94, 0.208)  |                       |       |       |
|        |                   |                 | (95, 0.208)  |                       |       |       |
|        |                   |                 | (96, 0.208)  |                       |       |       |
|        |                   |                 | (60, 0.198)  |                       |       |       |
|        |                   |                 | (61, 0.198)  |                       |       |       |
|        |                   |                 | (62, 0.198)  |                       |       |       |
|        |                   |                 | (63, 0.198)  |                       |       |       |
|        |                   |                 | (64, 0.198)  |                       |       |       |
|  117   | christianbender89 |       [87]      | (110, 0.206) |  0.002876608629825889 |   0   |   0   |
|        |                   |                 | (91, 0.201)  |                       |       |       |
|        |                   |                 | (92, 0.201)  |                       |       |       |
|        |                   |                 | (94, 0.201)  |                       |       |       |
|        |                   |                 | (95, 0.201)  |                       |       |       |
|        |                   |                 | (96, 0.201)  |                       |       |       |
|        |                   |                 | (60, 0.196)  |                       |       |       |
|        |                   |                 | (61, 0.196)  |                       |       |       |
|        |                   |                 | (62, 0.196)  |                       |       |       |
|        |                   |                 | (63, 0.196)  |                       |       |       |
|  119   | christianbender89 |       [47]      | (111, 0.232) |  0.011218403862539047 |   0   |   0   |
|        |                   |                 | (112, 0.232) |                       |       |       |
|        |                   |                 | (113, 0.232) |                       |       |       |
|        |                   |                 | (91, 0.198)  |                       |       |       |
|        |                   |                 | (92, 0.198)  |                       |       |       |
|        |                   |                 | (94, 0.198)  |                       |       |       |
|        |                   |                 | (95, 0.198)  |                       |       |       |
|        |                   |                 | (96, 0.198)  |                       |       |       |
|        |                   |                 | (60, 0.194)  |                       |       |       |
|        |                   |                 | (61, 0.194)  |                       |       |       |
|  120   | christianbender89 |       [50]      | (114, 0.317) | 0.0018582426333952743 |   0   |   0   |
|        |                   |                 | (115, 0.317) |                       |       |       |
|        |                   |                 | (116, 0.317) |                       |       |       |
|        |                   |                 | (47, 0.205)  |                       |       |       |
|        |                   |                 | (117, 0.186) |                       |       |       |
|        |                   |                 | (118, 0.186) |                       |       |       |
|        |                   |                 | (119, 0.186) |                       |       |       |
|        |                   |                 | (91, 0.185)  |                       |       |       |
|        |                   |                 | (92, 0.185)  |                       |       |       |
|        |                   |                 | (94, 0.185)  |                       |       |       |
|  124   | christianbender89 |       [55]      | (117, 0.394) | 0.0007890324489594649 |   0   |   0   |
|        |                   |                 | (118, 0.394) |                       |       |       |
|        |                   |                 | (119, 0.394) |                       |       |       |
|        |                   |                 | (114, 0.277) |                       |       |       |
|        |                   |                 | (115, 0.277) |                       |       |       |
|        |                   |                 | (116, 0.277) |                       |       |       |
|        |                   |                 | (111, 0.227) |                       |       |       |
|        |                   |                 | (112, 0.227) |                       |       |       |
|        |                   |                 | (113, 0.227) |                       |       |       |
|        |                   |                 | (91, 0.226)  |                       |       |       |
|  126   | christianbender89 |      [123]      | (117, 0.261) |  0.000638637573177223 |   0   |   0   |
|        |                   |                 | (118, 0.261) |                       |       |       |
|        |                   |                 | (119, 0.261) |                       |       |       |
|        |                   |                 | (114, 0.227) |                       |       |       |
|        |                   |                 | (115, 0.227) |                       |       |       |
|        |                   |                 | (116, 0.227) |                       |       |       |
|        |                   |                 | (91, 0.224)  |                       |       |       |
|        |                   |                 | (92, 0.224)  |                       |       |       |
|        |                   |                 | (94, 0.224)  |                       |       |       |
|        |                   |                 | (95, 0.224)  |                       |       |       |
|  132   | christianbender89 |       [79]      | (117, 0.227) |  0.00128658732711483  |   0   |   0   |
|        |                   |                 | (118, 0.227) |                       |       |       |
|        |                   |                 | (119, 0.227) |                       |       |       |
|        |                   |                 | (91, 0.222)  |                       |       |       |
|        |                   |                 | (92, 0.222)  |                       |       |       |
|        |                   |                 | (94, 0.222)  |                       |       |       |
|        |                   |                 | (95, 0.222)  |                       |       |       |
|        |                   |                 | (96, 0.222)  |                       |       |       |
|        |                   |                 |  (60, 0.22)  |                       |       |       |
|        |                   |                 |  (61, 0.22)  |                       |       |       |
|  133   | christianbender89 |    [117, 118]   | (117, 0.222) |  0.04833442194644031  |   2   |   2   |
|        |                   |                 | (118, 0.222) |                       |       |       |
|        |                   |                 | (119, 0.222) |                       |       |       |
|        |                   |                 | (91, 0.222)  |                       |       |       |
|        |                   |                 | (92, 0.222)  |                       |       |       |
|        |                   |                 | (94, 0.222)  |                       |       |       |
|        |                   |                 | (95, 0.222)  |                       |       |       |
|        |                   |                 | (96, 0.222)  |                       |       |       |
|        |                   |                 |  (60, 0.22)  |                       |       |       |
|        |                   |                 |  (61, 0.22)  |                       |       |       |
|  134   |    1anuppanwar    |       [78]      |  (27, 0.17)  |  0.003046458492003049 |   0   |   0   |
|        |                   |                 |  (28, 0.17)  |                       |       |       |
|        |                   |                 | (58, 0.149)  |                       |       |       |
|        |                   |                 | (59, 0.149)  |                       |       |       |
|        |                   |                 | (26, 0.147)  |                       |       |       |
|        |                   |                 | (50, 0.124)  |                       |       |       |
|        |                   |                 | (51, 0.115)  |                       |       |       |
|        |                   |                 | (47, 0.086)  |                       |       |       |
|        |                   |                 | (93, 0.038)  |                       |       |       |
|        |                   |                 | (60, 0.036)  |                       |       |       |
+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
Total of 29 objects were emitted
predicted 5 in the top-3
predicted 6 in the top-5


Users Summary:
+-------------------+---------------------+-------------+-------+-------+
|        user       |        score        | num_objects | top 3 | top 5 |
+-------------------+---------------------+-------------+-------+-------+
|   dynamitechetan  |  0.6750883296913653 |      5      |   3   |   3   |
|   30808316+0oo0   | 0.03797468354430378 |      1      |   0   |   0   |
|    1anuppanwar    |  0.0114410020386977 |      2      |   0   |   0   |
| christianbender89 | 0.22467698418570392 |      21     |   2   |   3   |
+-------------------+---------------------+-------------+-------+-------+
