+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score          | top 3 | top 5 |
|        |                |                                                                                                                                                                                                                           | (28, 0.667) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.667) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.621) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.612) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.612) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.612) |                        |       |       |
|   20   |    fraggle     |                                                                                                       [3, 22, 6, 9]                                                                                                       |  (9, 0.625) |  0.16189582355701543   |   1   |   1   |
|        |                |                                                                                                                                                                                                                           |  (8, 0.62)  |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (10, 0.62) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (24, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.614) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (3, 0.61)  |                        |       |       |
|   22   |    fraggle     |                                                                                                            [3]                                                                                                            |  (8, 0.625) |  0.04178869919279949   |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (10, 0.625) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.603) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (4, 0.599) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.597) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (3, 0.585) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (6, 0.581) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (31, 0.566) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (24, 0.558) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.558) |                        |       |       |
|   24   |    fraggle     |                                                                                                            [33]                                                                                                           |  (8, 0.656) | 0.0004508566275924255  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (10, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (9, 0.646) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (24, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.645) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (5, 0.644) |                        |       |       |
