+--------+-------------------+-----------------+--------------+-----------------------+-------+-------+
| commit |        user       | changed_objects | top 10 pred  |         score         | top 3 | top 5 |
|   55   |    1anuppanwar    |       [18]      | (55, 0.357)  |  0.02463987869598183  |   0   |   0   |
|        |                   |                 | (56, 0.357)  |                       |       |       |
|        |                   |                 | (43, 0.173)  |                       |       |       |
|        |                   |                 | (44, 0.173)  |                       |       |       |
|        |                   |                 | (39, 0.148)  |                       |       |       |
|        |                   |                 | (46, 0.124)  |                       |       |       |
|        |                   |                 | (21, 0.081)  |                       |       |       |
|        |                   |                 | (15, 0.069)  |                       |       |       |
|        |                   |                 | (16, 0.069)  |                       |       |       |
|        |                   |                 | (17, 0.069)  |                       |       |       |
|   56   |    1anuppanwar    |       [1]       | (55, 0.257)  |  0.005816066884769175 |   0   |   0   |
|        |                   |                 | (56, 0.257)  |                       |       |       |
|        |                   |                 | (57, 0.212)  |                       |       |       |
|        |                   |                 | (43, 0.172)  |                       |       |       |
|        |                   |                 | (44, 0.172)  |                       |       |       |
|        |                   |                 | (39, 0.148)  |                       |       |       |
|        |                   |                 | (19, 0.144)  |                       |       |       |
|        |                   |                 | (46, 0.124)  |                       |       |       |
|        |                   |                 | (15, 0.089)  |                       |       |       |
|        |                   |                 | (16, 0.089)  |                       |       |       |
|   58   |   dynamitechetan  |       [59]      | (35, 0.166)  |  0.008163265306122448 |   0   |   0   |
|        |                   |                 | (36, 0.166)  |                       |       |       |
|        |                   |                 | (46, 0.141)  |                       |       |       |
|        |                   |                 | (18, 0.079)  |                       |       |       |
|        |                   |                 | (21, 0.079)  |                       |       |       |
|        |                   |                 | (39, 0.077)  |                       |       |       |
|        |                   |                 | (15, 0.067)  |                       |       |       |
|        |                   |                 | (16, 0.067)  |                       |       |       |
|        |                   |                 | (17, 0.067)  |                       |       |       |
|        |                   |                 | (19, 0.063)  |                       |       |       |
|   66   |  sachinarora.707  |       [61]      | (18, 0.064)  |  0.027815468113975617 |   0   |   0   |
|        |                   |                 | (21, 0.064)  |                       |       |       |
|        |                   |                 | (15, 0.054)  |                       |       |       |
|        |                   |                 | (16, 0.054)  |                       |       |       |
|        |                   |                 | (17, 0.054)  |                       |       |       |
|        |                   |                 | (19, 0.051)  |                       |       |       |
|        |                   |                 |  (3, 0.048)  |                       |       |       |
|        |                   |                 | (39, 0.048)  |                       |       |       |
|        |                   |                 |  (4, 0.045)  |                       |       |       |
|        |                   |                 | (60, 0.041)  |                       |       |       |
|   71   | christianbender89 |       [69]      | (73, 0.583)  | 0.0004704406460718205 |   0   |   0   |
|        |                   |                 | (74, 0.583)  |                       |       |       |
|        |                   |                 | (75, 0.583)  |                       |       |       |
|        |                   |                 | (76, 0.583)  |                       |       |       |
|        |                   |                 | (77, 0.583)  |                       |       |       |
|        |                   |                 | (78, 0.583)  |                       |       |       |
|        |                   |                 | (79, 0.583)  |                       |       |       |
|        |                   |                 | (80, 0.583)  |                       |       |       |
|        |                   |                 | (81, 0.583)  |                       |       |       |
|        |                   |                 | (82, 0.583)  |                       |       |       |
|   72   | christianbender89 |       [98]      | (73, 0.483)  |  0.02975420439844756  |   0   |   0   |
|        |                   |                 | (74, 0.483)  |                       |       |       |
|        |                   |                 | (75, 0.483)  |                       |       |       |
|        |                   |                 | (76, 0.483)  |                       |       |       |
|        |                   |                 | (77, 0.483)  |                       |       |       |
|        |                   |                 | (78, 0.483)  |                       |       |       |
