+--------+----------------------+------------------------------------------------------+--------------+------------------------+-------+-------+
| commit |         user         |                   changed_objects                    | top 10 pred  |         score          | top 3 | top 5 |
|        |                      |                                                      | (21, 0.153)  |                        |       |       |
|        |                      |                                                      | (22, 0.133)  |                        |       |       |
|        |                      |                                                      | (23, 0.119)  |                        |       |       |
|        |                      |                                                      |  (42, 0.11)  |                        |       |       |
|        |                      |                                                      | (20, 0.104)  |                        |       |       |
|        |                      |                                                      | (24, 0.104)  |                        |       |       |
|        |                      |                                                      | (11, 0.064)  |                        |       |       |
|   42   |        tilman        |                         [22]                         | (45, 0.483)  |  0.13346043851286943   |   1   |   1   |
|        |                      |                                                      |  (22, 0.28)  |                        |       |       |
|        |                      |                                                      |  (21, 0.25)  |                        |       |       |
|        |                      |                                                      | (23, 0.217)  |                        |       |       |
|        |                      |                                                      |  (25, 0.2)   |                        |       |       |
|        |                      |                                                      | (20, 0.163)  |                        |       |       |
|        |                      |                                                      | (24, 0.163)  |                        |       |       |
|        |                      |                                                      | (11, 0.063)  |                        |       |       |
|        |                      |                                                      | (13, 0.063)  |                        |       |       |
|        |                      |                                                      |  (40, 0.06)  |                        |       |       |
|   43   |        kdavis        |                   [36, 21, 22, 25]                   | (25, 0.183)  |   0.4577284372331343   |   3   |   3   |
|        |                      |                                                      |  (22, 0.15)  |                        |       |       |
|        |                      |                                                      | (21, 0.148)  |                        |       |       |
|        |                      |                                                      | (23, 0.115)  |                        |       |       |
|        |                      |                                                      | (20, 0.103)  |                        |       |       |
|        |                      |                                                      | (24, 0.103)  |                        |       |       |
|        |                      |                                                      | (11, 0.062)  |                        |       |       |
|        |                      |                                                      | (13, 0.062)  |                        |       |       |
|        |                      |                                                      | (40, 0.058)  |                        |       |       |
|        |                      |                                                      | (36, 0.055)  |                        |       |       |
|   53   |    lissyx+github     |                         [40]                         | (41, 0.641)  |  0.01037117903930131   |   0   |   0   |
|        |                      |                                                      | (25, 0.204)  |                        |       |       |
|        |                      |                                                      | (22, 0.173)  |                        |       |       |
|        |                      |                                                      | (21, 0.161)  |                        |       |       |
|        |                      |                                                      | (23, 0.109)  |                        |       |       |
|        |                      |                                                      | (20, 0.097)  |                        |       |       |
|        |                      |                                                      | (24, 0.097)  |                        |       |       |
|        |                      |                                                      | (36, 0.092)  |                        |       |       |
|        |                      |                                                      | (11, 0.059)  |                        |       |       |
|        |                      |                                                      | (13, 0.059)  |                        |       |       |
|   54   |    kdavis-mozilla    |                       [36, 21]                       | (20, 0.698)  |  0.21432106913050655   |   0   |   2   |
|        |                      |                                                      | (24, 0.698)  |                        |       |       |
|        |                      |                                                      | (23, 0.686)  |                        |       |       |
|        |                      |                                                      | (36, 0.657)  |                        |       |       |
|        |                      |                                                      | (21, 0.642)  |                        |       |       |
|        |                      |                                                      | (25, 0.627)  |                        |       |       |
|        |                      |                                                      | (22, 0.581)  |                        |       |       |
|        |                      |                                                      | (11, 0.419)  |                        |       |       |
|        |                      |                                                      | (13, 0.419)  |                        |       |       |
|        |                      |                                                      |  (18, 0.34)  |                        |       |       |
|   64   |    chrislord.net     |                     [36, 21, 22]                     | (22, 0.567)  |   0.5049535603715172   |   3   |   3   |
|        |                      |                                                      | (36, 0.532)  |                        |       |       |
|        |                      |                                                      | (21, 0.532)  |                        |       |       |
|        |                      |                                                      |  (25, 0.48)  |                        |       |       |
|        |                      |                                                      | (45, 0.359)  |                        |       |       |
|        |                      |                                                      | (23, 0.192)  |                        |       |       |
|        |                      |                                                      | (20, 0.151)  |                        |       |       |
|        |                      |                                                      | (24, 0.151)  |                        |       |       |
|        |                      |                                                      | (40, 0.061)  |                        |       |       |
|        |                      |                                                      | (11, 0.058)  |                        |       |       |
|   66   |    lissyx+github     |                         [40]                         | (41, 0.636)  |  0.010382513661202186  |   0   |   0   |
|        |                      |                                                      | (25, 0.193)  |                        |       |       |
|        |                      |                                                      | (22, 0.184)  |                        |       |       |
|        |                      |                                                      | (21, 0.174)  |                        |       |       |
|        |                      |                                                      | (36, 0.107)  |                        |       |       |
|        |                      |                                                      | (23, 0.106)  |                        |       |       |
|        |                      |                                                      | (20, 0.096)  |                        |       |       |
|        |                      |                                                      | (24, 0.096)  |                        |       |       |
|        |                      |                                                      | (11, 0.058)  |                        |       |       |
|        |                      |                                                      | (13, 0.058)  |                        |       |       |
|   70   |    kdavis-mozilla    |                     [36, 21, 22]                     | (21, 0.725)  |   0.358079346160395    |   3   |   3   |
|        |                      |                                                      | (36, 0.716)  |                        |       |       |
|        |                      |                                                      | (22, 0.662)  |                        |       |       |
|        |                      |                                                      | (20, 0.646)  |                        |       |       |
|        |                      |                                                      | (24, 0.646)  |                        |       |       |
|        |                      |                                                      | (23, 0.611)  |                        |       |       |
|        |                      |                                                      |  (25, 0.58)  |                        |       |       |
|        |                      |                                                      | (11, 0.357)  |                        |       |       |
|        |                      |                                                      | (13, 0.357)  |                        |       |       |
|        |                      |                                                      | (18, 0.279)  |                        |       |       |
|   74   |    kdavis-mozilla    |                     [36, 21, 22]                     | (25, 0.628)  |  0.32646116893514815   |   0   |   1   |
|        |                      |                                                      | (20, 0.616)  |                        |       |       |
|        |                      |                                                      | (24, 0.616)  |                        |       |       |
|        |                      |                                                      | (22, 0.581)  |                        |       |       |
|        |                      |                                                      | (23, 0.577)  |                        |       |       |
|        |                      |                                                      | (21, 0.537)  |                        |       |       |
|        |                      |                                                      | (36, 0.513)  |                        |       |       |
|        |                      |                                                      | (11, 0.257)  |                        |       |       |
|        |                      |                                                      | (13, 0.257)  |                        |       |       |
|        |                      |                                                      | (18, 0.188)  |                        |       |       |
|   79   |    kdavis-mozilla    |                     [36, 21, 22]                     | (25, 0.666)  |   0.3402040391422027   |   0   |   1   |
|        |                      |                                                      | (20, 0.595)  |                        |       |       |
|        |                      |                                                      | (24, 0.595)  |                        |       |       |
|        |                      |                                                      | (22, 0.579)  |                        |       |       |
|        |                      |                                                      | (23, 0.557)  |                        |       |       |
|        |                      |                                                      | (21, 0.543)  |                        |       |       |
|        |                      |                                                      | (36, 0.512)  |                        |       |       |
|        |                      |                                                      | (11, 0.206)  |                        |       |       |
|        |                      |                                                      | (13, 0.206)  |                        |       |       |
|        |                      |                                                      | (18, 0.147)  |                        |       |       |
|   83   |    lissyx+github     |                         [40]                         | (41, 0.632)  |  0.010337323177366702  |   0   |   0   |
|        |                      |                                                      | (22, 0.199)  |                        |       |       |
|        |                      |                                                      | (21, 0.189)  |                        |       |       |
|        |                      |                                                      | (25, 0.183)  |                        |       |       |
|        |                      |                                                      | (36, 0.124)  |                        |       |       |
|        |                      |                                                      | (23, 0.102)  |                        |       |       |
|        |                      |                                                      | (20, 0.094)  |                        |       |       |
|        |                      |                                                      | (24, 0.094)  |                        |       |       |
|        |                      |                                                      | (11, 0.056)  |                        |       |       |
|        |                      |                                                      | (13, 0.056)  |                        |       |       |
|   90   |    lissyx+github     |               [45, 62, 63, 64, 69, 70]               | (41, 0.629)  |  0.014565826330532213  |   0   |   0   |
|        |                      |                                                      | (22, 0.187)  |                        |       |       |
|        |                      |                                                      | (21, 0.178)  |                        |       |       |
|        |                      |                                                      | (25, 0.173)  |                        |       |       |
|        |                      |                                                      | (36, 0.116)  |                        |       |       |
|        |                      |                                                      | (23, 0.097)  |                        |       |       |
|        |                      |                                                      |  (20, 0.09)  |                        |       |       |
|        |                      |                                                      |  (24, 0.09)  |                        |       |       |
|        |                      |                                                      | (11, 0.053)  |                        |       |       |
|        |                      |                                                      | (13, 0.053)  |                        |       |       |
|  100   |        tilman        |                         [20]                         | (25, 0.415)  |  0.03857374392220419   |   0   |   0   |
|        |                      |                                                      | (21, 0.348)  |                        |       |       |
|        |                      |                                                      |  (36, 0.3)   |                        |       |       |
|        |                      |                                                      | (22, 0.183)  |                        |       |       |
|        |                      |                                                      | (23, 0.166)  |                        |       |       |
|        |                      |                                                      | (20, 0.119)  |                        |       |       |
