               user                                           modified                      added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
61          fraggle                                           [45, 46]                         []             0.750000       20.300000            1.441176      31.926074               0.000000          0.250000
62          fraggle                                               [59]                         []             0.075000       20.300000            1.000000      31.664885               1.000000          1.200000
63          fraggle                                       [45, 46, 59]                         []             0.825000       20.300000            2.089744      31.765509               0.000000          0.166667
64          fraggle                             [21, 22, 8, 9, 23, 10]                         []             3.275000       20.300000            4.509951      30.053266               0.000000          0.142857
65          fraggle                                               [41]                         []             0.100000       20.500000            0.181818      30.213974               0.000000          0.125000
66          fraggle                                    [21, 8, 23, 10]                         []             2.700000       20.500000            3.729481      33.694040               0.000000          0.111111
67          fraggle  [11, 14, 12, 13, 16, 24, 25, 28, 29, 4, 43, 23...                         []             8.475000       20.500000           12.891137      33.557727               0.000000          0.100000
68          fraggle                                           [34, 33]                         []             0.800000       21.500000            1.318367      31.434759               0.000000          0.090909
69          fraggle                                       [30, 31, 43]                         []             1.575000       21.500000            2.674141      34.579775               0.000000          0.083333
70          fraggle                               [30, 31, 34, 33, 43]                         []             2.375000       21.500000            4.517952      34.634379               0.000000          0.076923
71          fraggle                                           [30, 34]                         []             1.350000       21.700000            1.833333      32.274539               0.000000          0.071429
72          fraggle                                               [44]                         []             0.750000       21.700000            0.979167      33.146740               0.000000          0.066667
73          fraggle                                           [30, 34]                         []             1.350000       21.700000            1.779710      34.692801               0.000000          0.062500
74          fraggle                                                 []                   [60, 61]             0.000000       21.700000            0.000000      34.164808               0.000000          0.058824
75          fraggle                            [2, 45, 30, 21, 34, 48]                         []             3.809524       20.761905            5.304910      33.321910               0.000000          0.055556
76          fraggle                                               [60]                         []             0.047619       20.761905            0.181818      33.119030               1.000000          2.052632
77          fraggle                                               [60]                         []             0.047619       20.761905            0.166667      34.061015               0.000000          0.550000
78          fraggle                                                 []                       [62]             0.000000       20.761905            0.000000      33.728599               0.000000          0.380952
79          fraggle                                           [30, 34]                         []             1.255814       20.302326            1.861905      34.056542               0.000000          0.295455
80          fraggle                                               [34]                         []             0.627907       20.302326            0.923077      35.373014               0.000000          1.243478
81          fraggle                                               [44]                         []             0.697674       20.302326            1.000000      35.333535               0.000000          0.708333
82          fraggle                                       [21, 22, 23]                         []             1.604651       20.302326            2.777778      35.276620               0.000000          0.516190
83          fraggle  [2, 3, 45, 46, 60, 61, 30, 31, 21, 22, 5, 6, 3...                         []             8.302326       20.302326           14.890663      34.763244               0.125000          0.413462
84          fraggle      [2, 45, 60, 30, 21, 5, 34, 8, 48, 62, 23, 44]                         []             8.209302       24.488372           10.597537      33.935406               0.200000          0.237037
85          fraggle                                         [8, 9, 10]                         []             2.186047       25.046512            2.897427      35.734964               0.000000          0.035714
86          fraggle                                               [23]                         []             0.767442       25.046512            1.000000      37.120781               0.000000          0.034483
87          fraggle                                               [21]                         []             0.790698       25.046512            0.971831      39.208553               0.000000          0.033333
88          fraggle                                    [21, 8, 23, 10]                         []             3.069767       25.046512            3.887086      39.520692               0.000000          0.032258
89          fraggle                                            [2, 60]                         []             1.279070       25.046512            1.979592      38.411905               0.000000          0.031250
90          fraggle                                           [48, 49]                         []             1.232558       25.046512            2.000000      38.500726               0.000000          0.030303
91          fraggle                                               [43]                         []             0.720930       25.046512            0.947368      38.767918               0.000000          0.029412
92          fraggle                                               [51]                         []             0.581395       25.046512            1.000000      39.773358               0.000000          0.028571
93          fraggle                                               [10]                         []             0.720930       25.046512            1.000000      39.492512               0.000000          0.027778
